사업장명,업소유형,업태구분명,지번주소,도로명주소,가까운 지하철역,지하철역과의 거리,도보시간,위도,경도,별점,방문자 리뷰수,블로그 리뷰수,한실수,양실수,욕실수,구비시설,네이버 이런점이 좋아요 총합,네이버 이런점이 좋아요 {항목:좋아요수},데이터갱신일자,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,naver_pk,리뷰수,객실수,구비시설 개수,운영기간
신일여관,,여관업,서울특별시 영등포구 문래동2가 56-2,서울특별시 영등포구 도림로139길 14 (문래동2가),"문래, 2호선",501.680959974268,7.52145367277763,37.5138009029084,126.892459584858,,,,,,,,,,2021-12-07 22:01:00.0,2003-02-26,,3,2022-08-19,,,,"37.5138009029, 126.8924595849",,,,7369.0
뉴신라호텔,,여관업,서울특별시 영등포구 영등포동3가 7-26 외 3필지,"서울특별시 영등포구 영중로10길 10 (영등포동3가,외 3필지)","영등포, 경부선",400.7564553152552,6.008342658399627,37.5189696294283,126.90635541214,,,,,,,,,,2021-11-01 21:00:00.0,2008-04-15,,3,2022-12-28,,,,"37.5189696294, 126.9063554121",,,,5494.0
서울장여관,,여관업,서울특별시 영등포구 영등포동3가 25-1번지 ,서울특별시 영등포구 영중로8길 19 (영등포동3가),"영등포, 경부선",318.0723348314856,4.768700672136216,37.51836416309,126.907854407292,,,,0.0,22.0,0.0,,,,2018-08-31 23:59:59.0,2003-02-26,,1,,,,,"37.5183641631, 126.9078544073",,22.0,,
세종,,여관업,서울특별시 영등포구 양평동1가 9-14번지 ,서울특별시 영등포구 영등포로18길 2-1 (양평동1가),"영등포구청, 5호선",448.2618781388769,6.720567888139084,37.5216030166088,126.891146351627,,,,0.0,17.0,0.0,,,,2019-04-17 02:40:00.0,2003-02-26,,1,,,,,"37.5216030166, 126.8911463516",,17.0,,
코트야드 바이 메리어트 서울 타임스퀘어,,관광호텔,서울특별시 영등포구 영등포동4가 442번지 ,서울특별시 영등포구 영중로 15 (영등포동4가),"영등포, 경부선",395.5305968404689,5.929993955629218,37.5172332566615,126.903715993779,,,,0.0,283.0,0.0,,,,2018-08-31 23:59:59.0,2009-09-16,,1,,,,,"37.5172332567, 126.9037159938",,283.0,,
아너스빌,,숙박업(생활),서울특별시 영등포구 영등포동6가 12번지 ,서울특별시 영등포구 영등포로35길 22 (영등포동6가),"영등포시장, 5호선",87.1855055118592,1.3071290181688036,37.5220571578487,126.90452043359,,,,0.0,25.0,0.0,,,,2018-08-31 23:59:59.0,2003-02-26,,1,,,,,"37.5220571578, 126.9045204336",,25.0,,
남영모텔,,여관업,서울특별시 영등포구 당산동6가 104-45번지 ,서울특별시 영등포구 당산로50길 7-1 (당산동6가),"당산, 2호선",94.85930471126564,1.4221784814282703,37.5348167586704,126.903827918129,,,,14.0,0.0,0.0,,,,2018-12-20 02:40:00.0,2003-02-26,,1,,,,,"37.5348167587, 126.9038279181",,14.0,,
대우장여인숙,,여관업,서울특별시 영등포구 영등포동5가 42-26번지 ,서울특별시 영등포구 영중로16길 1 (영등포동5가),"영등포시장, 5호선",207.66883251718755,3.113475749882872,37.5208446943633,126.905661107418,,,,14.0,0.0,0.0,,,,2018-08-31 23:59:59.0,2003-02-26,,1,,,,,"37.5208446944, 126.9056611074",,14.0,,
은성장여관,,여관업,서울특별시 영등포구 영등포동5가 42-41번지 ,서울특별시 영등포구 영중로16길 3 (영등포동5가),"영등포시장, 5호선",211.4514541079488,3.170186718260101,37.5208394944685,126.905806474484,,,,0.0,14.0,0.0,,,,2019-03-13 02:40:00.0,2003-02-26,,1,,,,,"37.5208394945, 126.9058064745",,14.0,,
씨에프모텔,모텔,여관업,서울특별시 영등포구 영등포동3가 2-15 ,서울특별시 영등포구 영중로10길 41 (영등포동3가),"영등포, 경부선",391.23309853770274,5.865563696217432,37.518529362825,126.909899256191,4.39,24.0,8.0,0.0,49.0,0.0,,,,2021-06-13 02:40:00.0,2003-02-26,,1,,,,,"37.5185293628, 126.9098992562",32.0,49.0,,
백운장여관,,여관업,서울특별시 영등포구 당산동1가 85번지 ,,"영등포시장, 5호선",448.55924747277953,6.725026198992197,37.5208899940098,126.900582817935,,,,0.0,12.0,0.0,,,,2018-12-20 02:40:00.0,2003-02-26,,1,,,,,"37.5208899940, 126.9005828179",,12.0,,
그곳에 호텔,,여관업,서울특별시 영등포구 영등포동3가 21-13번지 ,서울특별시 영등포구 영중로4길 15-5 (영등포동3가),"영등포, 경부선",242.93388664728184,3.642187206106174,37.5176826741402,126.907892573641,,,,0.0,40.0,0.0,,,,2019-04-19 02:40:00.0,2003-02-26,,1,,,,,"37.5176826741, 126.9078925736",,40.0,,
충남여인숙,,여인숙업,서울특별시 영등포구 대림동 977-5번지 ,서울특별시 영등포구 시흥대로181길 8 (대림동),"신대방, 2호선",659.7426603315573,9.89119430781945,37.4900967344847,126.906461913906,,,,10.0,0.0,0.0,,,,2018-12-21 02:40:00.0,2003-02-26,,1,,,,,"37.4900967345, 126.9064619139",,10.0,,
파나마모텔,모텔,여관업,서울특별시 영등포구 대림동 1015-25 ,서울특별시 영등포구 대림로 93-1 (대림동),"구로디지털단지, 2호선",581.0469882968217,8.711349149877387,37.4901581595056,126.903740354433,,,,0.0,18.0,0.0,,,,2022-01-02 02:40:00.0,2003-02-26,,1,,,,,"37.4901581595, 126.9037403544",,18.0,,
인천여인숙,,여관업,서울특별시 영등포구 영등포동5가 33-65 ,서울특별시 영등포구 영중로18길 22-1 (영등포동5가),"영등포시장, 5호선",282.8806821689926,4.241089687691043,37.5209777210506,126.907532983267,,,,10.0,0.0,0.0,,,,2021-12-22 02:40:00.0,2003-02-26,,1,,,,,"37.5209777211, 126.9075329833",,10.0,,
보성장여관,여관,여관업,서울특별시 영등포구 대림동 990-51 ,서울특별시 영등포구 시흥대로177길 16 (대림동),"구로디지털단지, 2호선",524.5889393666743,7.864901639680273,37.4893487712227,126.904389643548,,,,0.0,25.0,0.0,,,,2021-05-01 02:40:00.0,2003-02-26,,1,,,,,"37.4893487712, 126.9043896435",,25.0,,
금호여인숙,,여인숙업,서울특별시 영등포구 신길동 448-23번지 ,서울특별시 영등포구 신길로15길 6 (신길동),"신풍, 7호선",345.40813815029014,5.178532805851426,37.4976518523044,126.907486663061,,,,8.0,0.0,0.0,,,,2018-08-31 23:59:59.0,2003-02-26,,1,,,,,"37.4976518523, 126.9074866631",,8.0,,
데쟈트 호텔,,일반호텔,서울특별시 영등포구 영등포동3가 21-8번지 ,서울특별시 영등포구 영중로4길 9-6 (영등포동3가),"영등포, 경부선",256.8696895495162,3.851119783351067,37.5178170908806,126.907530096387,,,,0.0,54.0,0.0,,,,2019-02-24 02:40:00.0,2019-02-12,,1,,,,,"37.5178170909, 126.9075300964",,54.0,,
ST0WER HOSTEL,,관광호텔,서울특별시 영등포구 신길동 261-21번지 ,서울특별시 영등포구 신길로33길 20 (신길동),"신풍, 7호선",616.0423284180704,9.23601691781215,37.5055319399739,126.908622395805,,,,0.0,27.0,0.0,,,,2019-04-26 02:20:49.0,2019-04-24,,1,,,,,"37.5055319400, 126.9086223958",,27.0,,
신길모텔,,여관업,서울특별시 영등포구 신길동 115-17,서울특별시 영등포구 도신로58길 3 (신길동),"신길, 경부선",608.284135698368,9.119702184383328,37.5114964480329,126.916462257551,,,,,,,,,,2021-10-31 22:07:00.0,2003-02-26,,1,,,,,"37.5114964480, 126.9164622576",,,,
이도,,관광호텔,서울특별시 영등포구 당산동3가 136번지 ,서울특별시 영등포구 국회대로36길 2-1 (당산동3가),"영등포구청, 2호선",194.63673176472903,2.9180919305056827,37.5271009639686,126.897944405438,,,,0.0,27.0,0.0,,,,2019-07-24 02:21:44.0,2019-07-22,,1,,,,,"37.5271009640, 126.8979444054",,27.0,,
프라임레지던스,,숙박업(생활),서울특별시 영등포구 영등포동4가 426-2번지 ,"서울특별시 영등포구 경인로 823-2, 3층,4층,5층층 (영등포동4가)","영등포, 경부선",287.4901570255582,4.310197256754995,37.5158890747986,126.904412237977,,,,0.0,0.0,0.0,,,,2019-12-18 00:23:26.0,2019-12-16,,1,,,,,"37.5158890748, 126.9044122380",,0.0,,
토요코인 서울영등포,,관광호텔,서울특별시 영등포구 영등포동1가 106번지 ,서울특별시 영등포구 신길로 293 (영등포동1가),"신길, 5호선",255.2124365483348,3.8262734115192623,37.5176949613951,126.91195354622,,,,0.0,0.0,0.0,,,,2019-12-14 02:40:00.0,2019-12-09,,1,,,,,"37.5176949614, 126.9119535462",,0.0,,
가예,,관광호텔,서울특별시 영등포구 양평동1가 164-7번지 ,서울특별시 영등포구 선유로23길 3 (양평동1가),"양평, 5호선",439.7245842566825,6.592572477611432,37.5228436532299,126.889739548628,,,,34.0,0.0,0.0,,,,2019-11-02 00:23:04.0,2019-10-31,,1,,,,,"37.5228436532, 126.8897395486",,34.0,,
