,naver_pk
1717,"nan, nan"
1718,"nan, nan"
1719,"nan, nan"
1720,"nan, nan"
1721,"37.5477472032, 126.9695957104"
1722,"nan, nan"
1723,"37.5545416673, 126.9773809937"
1724,"nan, nan"
1725,"nan, nan"
1726,"nan, nan"
1727,"37.5343030598, 126.9738851550"
1728,"nan, nan"
1729,"nan, nan"
1730,"37.5495414816, 126.9715217191"
1731,"nan, nan"
1732,"37.5467964323, 126.9822216150"
1733,"nan, nan"
1734,"37.5309339713, 127.0089557572"
1735,"37.5316937297, 126.9915051871"
1736,"37.5340309118, 126.9620839665"
1737,"nan, nan"
1738,"nan, nan"
1739,"nan, nan"
1740,"37.5485920247, 126.9704835836"
1741,"37.5543441564, 126.9670002672"
1742,"nan, nan"
1743,"nan, nan"
1744,"nan, nan"
1745,"37.5530863773, 126.9723139168"
1746,"nan, nan"
1747,"nan, nan"
1748,"nan, nan"
1749,"nan, nan"
1750,"nan, nan"
1751,"nan, nan"
1752,"nan, nan"
1753,"nan, nan"
1754,"nan, nan"
1755,"37.5318347024, 126.9709083454"
1756,"nan, nan"
1757,"37.5441654310, 126.9668054861"
1758,"37.5357159570, 126.9617845276"
1759,"37.5667627165, 127.0502829430"
1760,"37.5373781569, 127.0536479690"
1761,"37.5631481711, 127.0348408347"
1762,"37.5633274789, 127.0351126760"
1763,"37.5627404452, 127.0349253067"
1764,"37.5630718661, 127.0345020368"
1765,"37.5666170839, 127.0348831988"
1766,"37.5365544438, 127.0552516589"
1767,"37.5486042266, 127.0662894174"
1768,"37.5487401369, 127.0240031630"
1769,"37.5434460608, 127.0570435782"
1770,"37.5407866920, 127.0600886002"
1771,"37.5487886256, 127.0559103584"
1772,"37.5629569137, 127.0353658095"
1773,"37.5696241915, 127.0368455879"
1774,"37.5604218764, 127.0331690154"
1775,"37.5633107694, 127.0352505278"
1776,"37.5632167098, 127.0352357694"
1777,"37.5352067235, 127.0564030235"
1778,"37.5636059206, 127.0353017136"
1779,"37.5625925950, 127.0352175924"
1780,"37.5632373870, 127.0350867144"
1781,"37.5615148972, 127.0598690315"
1782,"37.5449297250, 127.0540014523"
1783,"37.4813539272, 126.9149722100"
1784,"37.5624484995, 127.0353051290"
1785,"37.5539494057, 127.0198091286"
1786,"37.5649817822, 127.0357663196"
1787,"37.5488159465, 127.0434393282"
1788,"37.5473467304, 127.0447727581"
1789,"37.5635125339, 127.0351451340"
1790,"37.5654578315, 127.0358882248"
1791,"37.5483042406, 127.0235214034"
1792,"37.5513423179, 127.0688824643"
1793,"37.5668083009, 127.0362926234"
1794,"37.5515003304, 127.0689210867"
1795,"nan, nan"
1796,"37.5636474101, 127.0351552708"
1797,"37.5541459104, 127.0208720863"
1798,"37.5394205217, 127.0618036365"
1799,"37.5598096105, 127.0369403527"
1800,"nan, nan"
1801,"37.5614392563, 127.0608426793"
1802,"37.5709853580, 127.0355631720"
1803,"37.5605994043, 127.0333767815"
1804,"37.5585140194, 127.0328319179"
1805,"nan, nan"
1806,"37.5477539557, 127.0623157832"
1807,"37.5473195047, 127.0448137062"
1808,"37.5484566363, 127.0182144561"
1809,"nan, nan"
1810,"37.5484566363, 127.0182144561"
1811,"37.5491612523, 127.0482038396"
1812,"37.5614297197, 127.0604647555"
1813,"nan, nan"
1814,"37.5656310482, 127.0369105156"
1815,"37.5557845476, 127.0246493816"
1816,"37.5485185055, 127.0260608457"
1817,"37.5582489000, 127.0316811250"
1818,"37.5541482537, 127.0208684655"
1819,"nan, nan"
1820,"nan, nan"
1821,"nan, nan"
1822,"nan, nan"
1823,"37.5483068456, 127.0253029224"
1824,"37.5483926439, 127.0215525135"
1825,"37.5623446202, 127.0343700687"
1826,"nan, nan"
1827,"nan, nan"
1828,"37.5436122253, 127.0157748903"
1829,"37.5641465690, 127.0357324171"
1830,"37.5653748678, 127.0355309625"
1831,"37.5374853136, 127.0533879227"
1832,"37.5614038576, 127.0608225040"
1833,"37.5610292365, 127.0635344878"
1834,"37.5644741894, 127.0279856019"
1835,"37.5630351346, 127.0350150867"
1836,"37.5611991538, 127.0322383244"
1837,"37.5642548906, 127.0356601425"
1838,"37.5383753665, 127.0506263995"
1839,"37.5484096243, 127.0241322888"
1840,"37.5485224842, 127.0651957390"
1841,"37.5472521577, 127.0490029977"
1842,"37.5486327074, 127.0530803737"
1843,"37.5483013483, 127.0253085787"
1844,"nan, nan"
1845,"37.5628554586, 127.0344615301"
1846,"37.5387202045, 127.0477538034"
1847,"37.5470404772, 127.0191587766"
1848,"37.5484673638, 127.0218949657"
1849,"37.5487190186, 127.0666010573"
1850,"37.5346671599, 127.0563072384"
1851,"37.5634023984, 127.0352584940"
1852,"37.5634212679, 127.0351286792"
1853,"37.5362127008, 127.0602144801"
1854,"37.5350585232, 127.0563730422"
1855,"37.5371317821, 127.0494061880"
1856,"37.5632082083, 127.0356430054"
1857,"nan, nan"
1858,"nan, nan"
1859,"37.5352266422, 127.0563892350"
1860,"37.5685705277, 127.0493017545"
1861,"37.5388348444, 127.0525561139"
1862,"37.5499061500, 127.0541357480"
1863,"37.5486991532, 127.0639079833"
1864,"37.5484566363, 127.0182144561"
1865,"nan, nan"
1866,"37.5666170839, 127.0348831988"
1867,"37.5477539557, 127.0623157832"
1868,"37.5615148972, 127.0598690315"
1869,"37.5709872499, 127.0355638521"
1870,"37.5463794676, 127.0549022304"
1871,"37.5640930477, 127.0357391827"
1872,"37.5487238838, 127.0666015142"
1873,"nan, nan"
1874,"37.5603493786, 127.0364220249"
1875,"37.5709872499, 127.0355638521"
1876,"37.5654578315, 127.0358882248"
1877,"nan, nan"
1878,"37.5653775688, 127.0355375287"
1879,"37.5669564714, 127.0364332782"
1880,"nan, nan"
1881,"37.5537253603, 127.0206693934"
1882,"37.5640797923, 127.0420613165"
1883,"37.5389804701, 127.0464825201"
1884,"37.5370794804, 127.0534379831"
1885,"37.5480371189, 127.0199631619"
1886,"nan, nan"
1887,"37.5499061500, 127.0541357480"
1888,"37.5457492561, 127.0550156058"
1889,"37.5696238307, 127.0368468328"
1890,"nan, nan"
1891,"37.5485316322, 127.0173995883"
1892,"37.5411069089, 127.0607896054"
1893,"37.5614297197, 127.0604647555"
1894,"37.5491000487, 127.0560202467"
1895,"37.5487994577, 127.0219715612"
1896,"37.5614264804, 127.0604564906"
1897,"37.5615148972, 127.0598690315"
1898,"37.5480559057, 127.0207417227"
1899,"37.5645125166, 127.0506166906"
1900,"37.5571492945, 127.0416388960"
1901,"37.5603943406, 127.0349233062"
1902,"37.5375399141, 127.0531884847"
1903,"37.5588072336, 127.0367082947"
1904,"nan, nan"
1905,"nan, nan"
1906,"37.5488574936, 127.0531091635"
1907,"37.5685705277, 127.0493017545"
1908,"37.5638673326, 127.0351910278"
1909,"37.5633285196, 127.0324192065"
1910,"37.5665966329, 127.0348778693"
1911,"nan, nan"
1912,"37.5457564637, 127.0550166296"
1913,"37.5642385808, 127.0356659073"
1914,"37.5578994965, 127.0348667982"
1915,"37.5375083858, 127.0560949627"
1916,"37.5480547337, 127.0207457962"
1917,"nan, nan"
1918,"37.5362026083, 127.0602169612"
1919,"37.5578994965, 127.0348667982"
1920,"nan, nan"
1921,"nan, nan"
1922,"37.5610502884, 127.0629201547"
1923,"37.5484133403, 127.0526195328"
1924,"37.5465904229, 127.0450334790"
1925,"37.5461766773, 127.0438547888"
1926,"37.5473195047, 127.0448137062"
1927,"37.5424129216, 127.0550678074"
1928,"37.5513689353, 127.0478425606"
1929,"37.5640923465, 127.0419760941"
1930,"nan, nan"
1931,"nan, nan"
1932,"37.5638084127, 127.0351735695"
1933,"37.5633057186, 127.0352681823"
1934,"37.5633996884, 127.0352818089"
1935,"37.5630428873, 127.0350010554"
1936,"nan, nan"
1937,"nan, nan"
1938,"37.5644712822, 127.0302737893"
1939,"37.5633285196, 127.0324192065"
1940,"37.5375881273, 127.0513342766"
1941,"37.5374872602, 127.0571227669"
1942,"nan, nan"
1943,"nan, nan"
1944,"37.5352266422, 127.0563892350"
1945,"37.5396530917, 127.0610688095"
1946,"37.5488461934, 127.0572392788"
1947,"37.5666170839, 127.0348831988"
1948,"37.5366035131, 127.0557100449"
1949,"37.5479343669, 127.0548039014"
1950,"37.5485249952, 127.0260495317"
1951,"37.5412202270, 127.0496759240"
1952,"nan, nan"
1953,"nan, nan"
1954,"37.5484691258, 127.0260834611"
1955,"37.5383659038, 127.0506314848"
1956,"37.5513843282, 127.0460657321"
1957,"37.5477539557, 127.0623157832"
1958,"37.5634172200, 127.0351067193"
1959,"37.5635961870, 127.0353111035"
1960,"37.5408597633, 127.0613149925"
1961,"37.5630428873, 127.0350010554"
1962,"37.5461771283, 127.0438535443"
1963,"37.5614115034, 127.0606719777"
1964,"37.5643367229, 127.0358854233"
1965,"37.5470128025, 127.0448195201"
1966,"37.5489136535, 127.0571042132"
1967,"37.5483763275, 127.0564807297"
1968,"37.5488525385, 127.0531083678"
1969,"37.5674889070, 127.0498866947"
1970,"37.5560421722, 127.0339680083"
1971,"nan, nan"
1972,"37.5407815546, 127.0600918775"
1973,"37.5640092209, 127.0343364248"
1974,"37.5485552710, 127.0210708257"
1975,"37.5637131592, 127.0349311938"
1976,"37.5513851320, 127.0481166619"
1977,"37.5460228999, 127.0542140747"
1978,"37.5449230567, 127.0540034844"
1979,"nan, nan"
1980,"37.5614392563, 127.0608426793"
1981,"37.5615148972, 127.0598690315"
1982,"nan, nan"
1983,"37.5537557350, 127.0702517886"
1984,"37.5666170839, 127.0348831988"
1985,"37.5638084127, 127.0351735695"
1986,"nan, nan"
1987,"37.5394099831, 127.0617977440"
1988,"37.5377339707, 127.0516066072"
1989,"nan, nan"
1990,"37.5394099831, 127.0617977440"
1991,"37.5476717699, 127.0543183591"
1992,"37.5428854314, 127.0544295117"
1993,"37.5463794676, 127.0549022304"
1994,"37.5479343669, 127.0548039014"
1995,"37.5487892545, 127.0559140932"
1996,"37.5487238838, 127.0666015142"
1997,"37.5486991532, 127.0639079833"
1998,"37.5658275518, 127.0519956571"
1999,"37.5535944011, 127.0701932411"
2000,"37.5539626510, 127.0198053975"
2001,"nan, nan"
2002,"37.5681185675, 127.0445960436"
2003,"37.5656202763, 127.0537093036"
2004,"37.5649661890, 127.0357861200"
2005,"nan, nan"
2006,"37.5712291820, 127.0375522765"
2007,"37.5598096105, 127.0369403527"
2008,"37.5514180731, 127.0257670546"
2009,"37.5463794676, 127.0549022304"
2010,"37.5502940901, 127.0265247638"
2011,"37.5667627165, 127.0502829430"
2012,"37.5614297197, 127.0604647555"
2013,"37.5693434206, 127.0488224330"
2014,"nan, nan"
2015,"nan, nan"
2016,"nan, nan"
2017,"37.5709872499, 127.0355638521"
2018,"37.5560421722, 127.0339680083"
2019,"37.5484566363, 127.0182144561"
2020,"37.5382582661, 127.0583715967"
2021,"37.5486318070, 127.0530791283"
2022,"37.5408418790, 127.0615736417"
2023,"37.5662024783, 127.0502804158"
2024,"nan, nan"
2025,"nan, nan"
2026,"nan, nan"
2027,"nan, nan"
2028,"nan, nan"
2029,"37.5644585416, 127.0358720124"
2030,"37.5528155414, 127.0252564628"
2031,"37.5488159465, 127.0434393282"
2032,"nan, nan"
2033,"37.5493258019, 127.0264584460"
2034,"37.5442756614, 127.0162171324"
2035,"37.5389799327, 127.0464743731"
2036,"37.5502512981, 127.0474927306"
2037,"nan, nan"
2038,"37.5412202270, 127.0496759240"
2039,"37.5495508002, 127.0480905865"
2040,"37.5667490469, 127.0327976131"
2041,"37.5636125460, 127.0351403140"
2042,"nan, nan"
2043,"nan, nan"
2044,"37.5418295708, 127.0959883899"
2045,"37.5476040930, 127.0697734526"
2046,"37.5445988785, 127.0707204910"
2047,"37.5474326194, 127.1094461399"
2048,"37.5383370216, 127.0895717333"
2049,"37.5683168196, 127.0827814163"
2050,"37.5638683618, 127.0795951730"
2051,"37.5469512695, 127.0672190382"
2052,"37.5481960546, 127.1068674942"
2053,"37.5508139804, 127.0691773422"
2054,"37.5438953211, 127.0910595930"
2055,"37.5471710790, 127.0686876104"
2056,"37.5619544847, 127.0833537609"
2057,"37.5382261562, 127.0895088039"
2058,"37.5688204696, 127.0830470730"
2059,"37.5586932629, 127.0885177330"
2060,"37.5562479163, 127.0775576210"
2061,"37.5662124182, 127.0779367226"
2062,"37.5451372094, 127.0684543367"
2063,"nan, nan"
2064,"37.5575793818, 127.0759377468"
2065,"37.5467922493, 127.0692356374"
2066,"37.5475394874, 127.0712886233"
2067,"37.5468336658, 127.0733147655"
2068,"37.5473532749, 127.0724337494"
2069,"nan, nan"
2070,"37.5697681434, 127.0823941978"
2071,"37.5364262828, 127.0818586451"
2072,"37.5474933902, 127.0673950382"
2073,"37.5472105234, 127.0688754937"
2074,"37.5465629284, 127.0683363698"
2075,"37.5551274622, 127.0857287842"
2076,"37.5476778390, 127.0690851594"
2077,"37.5463794422, 127.0696434224"
2078,"nan, nan"
2079,"37.5397907387, 127.0931255793"
2080,"37.5426960314, 127.0904338635"
2081,"37.5601926742, 127.0857469240"
2082,"37.5581901138, 127.0795765699"
2083,"37.5470918535, 127.0678000183"
2084,"37.5490244759, 127.0900685215"
2085,"37.5565135351, 127.0778241970"
2086,"nan, nan"
2087,"37.5654284948, 127.0808353407"
2088,"37.5458687017, 127.0864885656"
2089,"nan, nan"
2090,"37.5493222721, 127.0904009032"
2091,"37.5337203123, 127.0756364677"
2092,"37.5317138272, 127.0813977768"
2093,"37.5337972597, 127.0815890991"
2094,"37.5774765121, 127.0249004909"
2095,"37.5474635925, 127.0675083989"
2096,"37.5573824118, 127.0778924405"
2097,"37.5608818097, 127.0853001940"
2098,"37.5506526454, 127.0707925258"
2099,"37.5703708585, 127.0858788053"
2100,"37.5479047137, 127.0679930167"
2101,"37.5378080889, 127.0897505512"
2102,"37.5587749115, 127.0743859266"
2103,"nan, nan"
2104,"nan, nan"
2105,"37.5490244759, 127.0900685215"
2106,"37.5696757113, 127.0839149820"
2107,"37.5368435147, 127.0839425570"
2108,"37.5442983580, 127.0852393145"
2109,"37.5490041140, 127.0920538388"
2110,"37.5405336061, 127.0942697786"
2111,"37.5307022696, 127.0747239202"
2112,"37.5405851171, 127.0634030801"
2113,"37.5362609011, 127.0610978367"
2114,"nan, nan"
2115,"37.5475121825, 127.0680904315"
2116,"37.5471501074, 127.0698791743"
2117,"37.5492832421, 127.0914756877"
2118,"37.5554729238, 127.0827981029"
2119,"37.5369285892, 127.0632339999"
2120,"37.5376518661, 127.0617892780"
2121,"37.5464702449, 127.0690603946"
2122,"37.5554354060, 127.0848794317"
2123,"37.5449365299, 127.0824558024"
2124,"nan, nan"
2125,"37.5508473465, 127.0691274667"
2126,"nan, nan"
2127,"37.5668728752, 127.0820197434"
2128,"37.5568856884, 127.0784424091"
2129,"37.5319337786, 127.0850806509"
2130,"37.5471247044, 127.0680185615"
2131,"37.5377331450, 127.0776464960"
2132,"37.5586605108, 127.0766000310"
2133,"37.5370461528, 127.0627590011"
2134,"37.5475060328, 127.0708853976"
2135,"37.5494344478, 127.0684283911"
2136,"37.5503972263, 127.0689416856"
2137,"37.5473244452, 127.0709459932"
2138,"37.5471550065, 127.0682813484"
2139,"37.5473790579, 127.0687936069"
2140,"37.5625066985, 127.0811652843"
2141,"37.5404336572, 127.0684108862"
2142,"37.5572899726, 127.0767872926"
2143,"nan, nan"
2144,"nan, nan"
2145,"37.5647521925, 127.0812505736"
2146,"nan, nan"
2147,"37.5400814037, 127.0638388473"
2148,"37.5431211362, 127.0929692683"
2149,"37.5471085438, 127.0674473114"
2150,"37.5590752873, 127.0873052476"
2151,"37.5638510288, 127.0791094732"
2152,"37.5477411657, 127.0681783401"
2153,"37.5465673041, 127.0680921748"
2154,"37.5376689631, 127.0778300662"
2155,"37.5474063260, 127.0685390193"
2156,"37.5457473111, 127.1044618668"
2157,"37.5372017683, 127.0855525700"
2158,"37.5394504286, 127.0654930026"
2159,"37.5474875850, 127.0682470244"
2160,"37.5453998288, 127.0869698513"
2161,"37.5405851171, 127.0634030801"
2162,"37.5421052181, 127.0658283346"
2163,"37.5486025235, 127.0929935029"
2164,"37.4887015262, 126.9072642072"
2165,"37.5637139857, 127.0758160732"
2166,"37.5571758386, 127.0761965103"
2167,"37.5324780194, 127.0752021185"
2168,"37.5186410688, 126.9026107217"
2169,"37.5334297579, 127.0845125770"
2170,"37.5473445115, 127.0672962277"
2171,"37.5635899890, 127.0796769364"
2172,"37.5576471898, 127.0731420126"
2173,"37.5477201905, 127.0683030252"
2174,"37.5433087544, 127.0711426983"
2175,"37.5469914585, 127.0675269841"
2176,"37.5472030897, 127.0675504862"
2177,"37.5571630787, 127.0769771848"
2178,"37.5473759513, 127.0706972006"
2179,"37.5552033412, 127.0880348832"
2180,"37.5474147125, 127.0696048923"
2181,"37.5707125095, 127.0835012803"
2182,"37.5863279796, 127.0792091118"
2183,"37.5400599301, 127.0691712527"
2184,"37.5565830097, 127.0799700682"
2185,"37.4788983139, 126.9153435608"
2186,"37.5707341698, 127.0864547132"
2187,"37.5603904178, 127.0854087400"
2188,"37.5454626134, 127.0661477903"
2189,"37.5610170262, 127.0742678434"
2190,"37.5586605108, 127.0766000310"
2191,"37.5467638452, 127.0703411863"
2192,"37.5373101282, 127.0859666946"
2193,"37.5478359233, 127.0690011129"
2194,"37.5400688329, 127.0935238740"
2195,"37.5470396034, 127.0669970963"
2196,"37.5506345801, 127.0908651109"
2197,"37.5573092879, 127.0767351383"
2198,"37.5710951159, 127.0835665693"
2199,"37.6070110913, 127.0787308080"
2200,"37.5547506095, 127.0876452644"
2201,"37.5473164400, 127.0684808854"
2202,"37.5474107334, 127.0676142701"
2203,"37.4777499869, 126.8915397761"
2204,"37.5694330198, 127.0797014977"
2205,"37.5358886263, 127.0608874250"
2206,"37.5557901180, 127.0885739415"
2207,"37.5564557867, 127.0801061947"
2208,"37.5383625791, 127.0709217740"
2209,"37.5508139804, 127.0691773422"
2210,"37.5585368205, 127.0799721562"
2211,"37.5619493781, 127.0817660218"
2212,"37.5372357670, 127.0847599093"
2213,"37.5822414187, 127.0440312646"
2214,"37.5771137114, 127.0234349166"
2215,"37.5806724979, 127.0421124242"
2216,"37.5804895344, 127.0420329601"
2217,"37.5721901248, 127.0570396852"
2218,"37.5373801708, 127.0861660252"
2219,"37.4898175008, 126.9049796328"
2220,"37.5468425316, 127.0876691607"
2221,"37.6028366240, 127.0651322418"
2222,"37.5642962672, 127.0661274272"
2223,"37.5901609218, 127.0550808888"
2224,"37.5856804772, 127.0324510886"
2225,"37.5773472613, 127.0476379714"
2226,"37.5793440496, 127.0744581218"
2227,"37.5793189784, 127.0252145815"
2228,"37.5865456205, 127.0421181103"
2229,"37.5699511099, 127.0713649914"
2230,"37.5820093973, 127.0435876705"
2231,"37.5780404272, 127.0408219608"
2232,"37.5893594703, 127.0566437045"
2233,"37.5994903919, 127.0615190064"
2234,"37.5746751867, 127.0376483044"
2235,"37.5748214505, 127.0375467221"
2236,"37.5706281547, 127.0713037190"
2237,"37.6037492651, 127.0622417417"
2238,"37.5764577061, 127.0308434218"
2239,"37.5865005526, 127.0408889648"
2240,"37.5759145934, 127.0462709090"
2241,"37.5716441519, 127.0562257159"
2242,"37.5838436574, 127.0435393776"
2243,"37.5895074750, 127.0547950805"
2244,"37.5856262442, 127.0445801061"
2245,"37.5751073253, 127.0274381683"
2246,"37.5742126783, 127.0298687344"
2247,"nan, nan"
2248,"37.5684760567, 127.0703704282"
2249,"37.5764695791, 127.0679332847"
2250,"37.5987991297, 127.0657379478"
2251,"37.5614359223, 127.0693414296"
2252,"37.5734035447, 127.0514395625"
2253,"37.5815318299, 127.0387989424"
2254,"37.5890316823, 127.0549430554"
2255,"37.5761751330, 127.0260729716"
2256,"37.5296981227, 126.9696937719"
2257,"37.5618809380, 127.0661780357"
2258,"37.5901239699, 127.0568152548"
2259,"37.5766302218, 127.0377511736"
2260,"37.5777142518, 127.0355795041"
2261,"37.5817089419, 127.0437611642"
2262,"37.5779698521, 127.0390378863"
2263,"37.5893074142, 127.0544933035"
2264,"37.5920352713, 127.0569464679"
2265,"37.5892188406, 127.0370907519"
2266,"37.5827692913, 127.0389605759"
2267,"37.5645279407, 127.0662393477"
2268,"37.5826983024, 127.0433280182"
2269,"37.5739124408, 127.0570928450"
2270,"37.5700426016, 127.0714468057"
2271,"37.5817146476, 127.0476412069"
2272,"37.5833708768, 127.0431288089"
2273,"37.5811090566, 127.0456738725"
2274,"37.5778213556, 127.0401500696"
2275,"37.5785679283, 127.0562385068"
2276,"37.5829578965, 127.0492558787"
2277,"37.5806862386, 127.0427375861"
2278,"37.5846670833, 127.0383187156"
2279,"37.5765998931, 127.0575341335"
2280,"37.5887617327, 127.0366238167"
2281,"37.5823983074, 127.0439621831"
2282,"37.5916342649, 127.0516012290"
2283,"37.5904080486, 127.0579359579"
2284,"37.5812635076, 127.0422303848"
2285,"37.5903358972, 127.0584475709"
2286,"37.5832468157, 127.0426168904"
2287,"37.5768075508, 127.0365640752"
2288,"37.5635869499, 127.0576335752"
2289,"37.5870294096, 127.0338559562"
2290,"37.5742170728, 127.0572670686"
2291,"37.5821504543, 127.0434480469"
2292,"37.5806118109, 127.0420000843"
2293,"37.5727072693, 127.0698324103"
2294,"37.5770463119, 127.0374341803"
2295,"37.5845824413, 127.0433776805"
2296,"37.5775281984, 127.0258812183"
2297,"37.5733222332, 127.0238985293"
2298,"37.5698444643, 127.0708627561"
2299,"37.5623342310, 127.0609886218"
2300,"37.5341645096, 127.0918906620"
2301,"37.5833463548, 127.0436597758"
2302,"37.5920920231, 127.0658039481"
2303,"37.5660351963, 127.0560116468"
2304,"37.5686627025, 127.0567193747"
2305,"37.5764461079, 127.0266742985"
2306,"37.5839841427, 127.0442116260"
2307,"37.5764376713, 127.0248734285"
2308,"37.5793669246, 127.0362398493"
2309,"37.5889296379, 127.0548611194"
2310,"nan, nan"
2311,"37.5622936129, 127.0616501474"
2312,"37.5787842926, 127.0447846701"
2313,"37.5728601687, 127.0679790215"
2314,"37.5681845759, 127.0694725367"
2315,"37.5777661532, 127.0438677619"
2316,"37.5779286312, 127.0265531295"
2317,"37.5777763550, 127.0445345579"
2318,"37.5857284425, 127.0329842586"
2319,"37.5761274589, 127.0551702837"
2320,"37.5864951742, 127.0524421917"
2321,"37.5738304430, 127.0518357206"
2322,"37.5706814904, 127.0721985872"
2323,"nan, nan"
2324,"37.5694997241, 127.0705943847"
2325,"nan, nan"
2326,"37.5752736534, 127.0378484096"
2327,"37.5732188703, 127.0559316735"
2328,"nan, nan"
2329,"nan, nan"
2330,"37.5296343002, 126.9695709339"
2331,"nan, nan"
2332,"37.5871680619, 127.0377520793"
2333,"37.6037890126, 127.0617006829"
2334,"37.5761833320, 127.0260733141"
2335,"37.5956754160, 127.0608226455"
2336,"37.5824735579, 127.0439150170"
2337,"37.5765710861, 127.0254023682"
2338,"37.5773888440, 127.0475218479"
2339,"37.5761843127, 127.0463688847"
2340,"37.5820824634, 127.0440849474"
2341,"37.5890831620, 127.0552583095"
2342,"37.5779050643, 127.0359368772"
2343,"37.5833581100, 127.0433004363"
2344,"37.5758755882, 127.0259099662"
2345,"37.5753783433, 127.0462151075"
2346,"37.5688108190, 127.0698438272"
2347,"37.5854789825, 127.0502839814"
2348,"37.5774428652, 127.0473931663"
2349,"37.5782284594, 127.0559950811"
2350,"37.6005908767, 126.9590659553"
2351,"37.5668249883, 127.0535321198"
2352,"37.6021109647, 127.0622983577"
2353,"37.5660765771, 127.0670294228"
2354,"37.5775932563, 127.0358509165"
2355,"37.5664596827, 127.0657438145"
2356,"37.5849360432, 127.0388289005"
2357,"37.5824310614, 127.0486626289"
2358,"37.5819162064, 127.0478479498"
2359,"37.5911357018, 127.0419347775"
2360,"37.5811499942, 127.0458223188"
2361,"37.5624474298, 127.0648151232"
2362,"37.5797374089, 127.0365463754"
2363,"37.5763596864, 127.0552748300"
2364,"37.5783661618, 127.0284532553"
2365,"37.5836925849, 127.0444418483"
2366,"37.5785677420, 127.0712648741"
2367,"37.5715072562, 127.0498871109"
2368,"37.5724150633, 127.0571222656"
2369,"nan, nan"
2370,"37.5635148849, 127.0663565032"
2371,"37.6035177185, 127.0622267136"
2372,"37.5782570451, 127.0442692585"
2373,"37.5690696539, 127.0700314049"
2374,"nan, nan"
2375,"37.5791750026, 127.0453901208"
2376,"nan, nan"
2377,"nan, nan"
2378,"37.5762596584, 127.0315600400"
2379,"nan, nan"
2380,"37.5789893930, 127.0264578446"
2381,"nan, nan"
2382,"37.5792492672, 127.0453310706"
2383,"37.5790549108, 127.0709635231"
2384,"37.5799290604, 127.0259582400"
2385,"37.5706008629, 127.0490078769"
2386,"37.5893263663, 127.0369718062"
2387,"37.5843227165, 127.0422975523"
2388,"37.5768837709, 127.0463273191"
2389,"nan, nan"
2390,"37.5733599020, 127.0663217685"
2391,"37.5691365827, 127.0689858941"
2392,"nan, nan"
2393,"37.5617127661, 127.0710628572"
2394,"37.5618265219, 127.0711294037"
2395,"37.5703094068, 127.0700595062"
2396,"37.5794760995, 127.0449592010"
2397,"37.5678878902, 127.0692985112"
2398,"nan, nan"
2399,"nan, nan"
2400,"37.6068417655, 127.0111079024"
2401,"37.5688108190, 127.0698438272"
2402,"37.5701800323, 127.0697408526"
2403,"37.5955845178, 127.0604488990"
2404,"37.5885369479, 127.0543581191"
2405,"nan, nan"
2406,"37.5714529240, 127.0708574881"
2407,"37.5822469444, 127.0449092417"
2408,"37.5909832002, 127.0570972774"
2409,"37.5794760995, 127.0449592010"
2410,"nan, nan"
2411,"37.5776505107, 127.0363054699"
2412,"nan, nan"
2413,"37.5751969717, 127.0375885694"
2414,"nan, nan"
2415,"nan, nan"
2416,"nan, nan"
2417,"nan, nan"
2418,"nan, nan"
2419,"37.5764176787, 127.0235082818"
2420,"nan, nan"
2421,"37.5655680296, 127.0580638600"
2422,"37.5885940974, 127.0579020567"
2423,"nan, nan"
2424,"37.5772570555, 127.0256230140"
2425,"37.5917824487, 127.0567682803"
2426,"nan, nan"
2427,"37.5906028512, 127.0590108553"
2428,"37.5790079475, 127.0444717812"
2429,"37.5869761392, 127.0342436010"
2430,"nan, nan"
2431,"nan, nan"
2432,"37.5910534421, 127.0395841338"
2433,"37.5833157051, 127.0496284803"
2434,"37.5999015143, 127.0615183257"
2435,"37.5706417470, 127.0713248997"
2436,"37.5784483448, 127.0427520429"
2437,"nan, nan"
2438,"37.5672355767, 127.0571735475"
2439,"37.5702765411, 127.0512559590"
2440,"37.5782754429, 127.0430030391"
2441,"37.5721823918, 127.0483228161"
2442,"37.5777525585, 127.0361255201"
2443,"37.5683286758, 127.0695734121"
2444,"37.5708431756, 127.0718266660"
2445,"nan, nan"
2446,"37.5653727185, 127.0668715735"
2447,"37.5680248899, 127.0693696097"
2448,"37.5790528815, 127.0288978622"
2449,"37.5691502538, 127.0693345445"
2450,"37.5702487677, 127.0709680716"
2451,"37.5764802621, 127.0692408141"
2452,"37.5876102076, 127.0554756259"
2453,"37.5792973157, 127.0440741353"
2454,"37.5776217085, 127.0314963133"
2455,"37.5831818902, 127.0494551720"
2456,"37.5816140458, 127.0410623384"
2457,"nan, nan"
2458,"37.5843227165, 127.0422975523"
2459,"37.5692905835, 127.0701737837"
2460,"37.5910709316, 127.0398215806"
2461,"37.5772892265, 127.0474409553"
2462,"37.5617104433, 127.0674975965"
2463,"37.5616753475, 127.0677369464"
2464,"37.5906859768, 127.0632554495"
2465,"37.5911632216, 127.0544202662"
2466,"37.5807754854, 127.0421015007"
2467,"37.5776138448, 127.0354004762"
2468,"37.6037390939, 127.0622227079"
2469,"37.5674106604, 127.0561929906"
2470,"37.5678508053, 127.0556041564"
2471,"37.5890866790, 127.0621367991"
2472,"37.5769134211, 127.0390838624"
