,naver_pk
168,"37.6090265278, 126.9283614408"
169,"37.5647685085, 127.0021445628"
170,"37.5630643449, 126.9772026411"
171,"37.5626480372, 127.0348094761"
172,"37.5712625090, 127.0107153682"
173,"37.5174153444, 126.9075439398"
174,"37.5730482306, 126.9887399972"
175,"37.5211172851, 126.9960264947"
176,"37.4824947680, 126.9835269132"
177,"37.5737576947, 127.0199609696"
178,"nan, nan"
179,"37.5581159385, 126.9690954414"
180,"37.5077424029, 126.9619659562"
181,"37.5706271088, 127.0035763247"
182,"37.5809067828, 127.0221561319"
183,"37.5614055611, 126.9869761046"
184,"37.5580447865, 126.9836313954"
185,"37.5725249560, 127.0164372024"
186,"37.5543489922, 126.9749425414"
187,"37.5175465879, 127.0295339335"
188,"37.5616267502, 126.9769210279"
189,"37.5633577415, 126.9933600961"
190,"37.5629366709, 126.9858135445"
191,"37.5585209634, 126.9744868479"
192,"37.5629157785, 126.9851679432"
193,"37.5669486979, 126.9880881443"
194,"37.5716611821, 127.0035400376"
195,"37.5028451432, 127.0402861996"
196,"37.5713072086, 127.0132747668"
197,"37.5341992016, 126.9748404427"
198,"37.5290061414, 126.8401072647"
199,"37.5954717530, 127.0898257636"
200,"37.5143684034, 127.0205318497"
201,"37.5543488120, 126.9749424283"
202,"37.5428764512, 126.9497014203"
203,"37.5621446807, 126.9766544342"
204,"37.5583624965, 126.9858662472"
205,"37.4863085419, 126.9303413720"
206,"37.5713467784, 127.0122941446"
207,"37.5237413609, 126.8825824810"
208,"37.5641228222, 127.0087223766"
209,"nan, nan"
210,"37.5105153668, 127.0795910784"
211,"37.5519076071, 126.9176185650"
212,"37.5104994583, 127.0793987823"
213,"37.6095094221, 126.9313323411"
214,"37.6091773187, 126.9304115460"
215,"37.5670131307, 126.9913202989"
216,"37.5288419848, 126.8474683901"
217,"37.5554550839, 126.9755001157"
218,"37.5637131592, 127.0349311938"
219,"37.5691314364, 126.9909826216"
220,"37.6405324299, 127.0273745163"
221,"37.5634061274, 126.9934027627"
222,"37.5653458904, 126.9810075639"
223,"37.5373071865, 126.9442731386"
224,"37.5686380259, 126.9985153565"
225,"37.5666115747, 126.9893381579"
226,"37.5370614422, 126.8345468451"
227,"37.5110402960, 127.0794510447"
228,"37.5563845988, 126.9393823478"
229,"37.5397165702, 127.1244416548"
230,"37.5702940350, 126.9146614533"
231,"37.5565851791, 126.9824356804"
232,"37.5965104091, 127.0894784734"
233,"37.5403518990, 126.9721886162"
234,"nan, nan"
235,"37.6008587475, 127.1053359852"
236,"37.5580016347, 126.9422915029"
237,"37.6246175251, 127.0190326539"
238,"37.4714131964, 126.9322843360"
239,"37.5320184134, 126.8393451868"
240,"37.6322048227, 127.0244135817"
241,"37.5713218260, 126.9896373463"
242,"nan, nan"
243,"37.5552925494, 127.0880220865"
244,"37.6225448232, 127.0736098273"
245,"37.5479484508, 127.0691674516"
246,"37.5037596124, 126.8609872611"
247,"37.5571538576, 127.0786644018"
248,"37.5586799441, 127.0800382921"
249,"37.5361573397, 127.0609941122"
250,"nan, nan"
251,"37.4961685552, 127.0204832157"
252,"37.6172820797, 126.9200438015"
253,"37.5702211941, 127.0697640961"
254,"37.4756317103, 126.9806866092"
255,"37.5825065864, 126.8939137938"
256,"nan, nan"
257,"37.6705333936, 127.0434061241"
258,"37.4852883214, 126.9286653033"
259,"37.5762443709, 127.0462363592"
260,"37.5250573691, 126.8578272473"
261,"37.5669491200, 127.0064983946"
262,"37.5300981824, 126.8363782690"
263,"37.5846304233, 127.0494401666"
264,"37.6267479045, 127.0244355859"
265,"37.6475770283, 127.0155842775"
266,"37.5944200831, 127.0586498275"
267,"37.4617142213, 126.9043318158"
268,"37.5968256144, 127.0999826184"
269,"nan, nan"
270,"37.5554274200, 127.0880337888"
271,"37.5623367980, 126.9786912295"
272,"37.5571199235, 126.9321343089"
273,"nan, nan"
274,"37.5910589641, 127.0400414616"
275,"37.5959640708, 127.0899228314"
276,"37.4849754737, 126.9316844883"
277,"37.4861291363, 126.9280611693"
278,"37.5838488662, 126.9110091351"
279,"37.4963382250, 126.8460305060"
280,"37.5711139439, 127.0155022242"
281,"37.5576773522, 126.9823288116"
282,"nan, nan"
283,"nan, nan"
284,"37.5719853227, 127.0130491696"
285,"37.5772191268, 126.9691196985"
286,"37.5746578498, 127.0010176898"
287,"37.4943482978, 126.8416263550"
288,"37.4907104966, 126.8821819027"
289,"37.5120127247, 126.9339684948"
290,"37.4908404729, 126.8831405808"
291,"37.4909871037, 126.8827232152"
292,"37.4461938512, 126.9033676165"
293,"37.6545195186, 127.0575497779"
294,"nan, nan"
295,"37.4900370240, 126.8827556830"
296,"37.4866054757, 126.8895166015"
297,"37.4858206710, 126.8850496417"
298,"37.4785821258, 126.9039978260"
299,"37.6204978863, 126.9195154559"
300,"37.5761070851, 126.9978861302"
301,"37.6305618830, 127.0239330465"
302,"nan, nan"
303,"37.4885929613, 126.8839233768"
304,"37.5919580070, 126.9420269471"
305,"37.4901896472, 126.8834767484"
306,"37.5565182980, 126.9383215637"
307,"37.4902818895, 126.8875462841"
308,"37.5771587300, 127.0461594915"
309,"37.5895754432, 127.0100963877"
310,"37.5573527482, 126.9425000212"
311,"37.4853564411, 126.8868849860"
312,"37.5566081552, 126.9376880487"
313,"37.5395080448, 127.1298294728"
314,"37.5321837989, 126.8605155721"
315,"37.5482386281, 126.9111244771"
316,"37.5940505885, 127.0844992186"
317,"37.5809594774, 126.9114970081"
318,"37.5647312947, 126.9838589106"
319,"37.5557534794, 126.9216694617"
320,"37.5727431719, 126.9889328219"
321,"37.5625831076, 126.9925687813"
322,"37.5528313230, 126.9362805369"
323,"nan, nan"
324,"37.5716752543, 127.0029314863"
325,"37.5698904061, 126.9906121554"
326,"37.4927064880, 127.0430687067"
327,"37.5848750335, 127.0505263143"
328,"37.5717800219, 126.9901020741"
329,"37.4862524751, 126.9284912781"
330,"37.5386759386, 126.8930554626"
331,"37.5297598035, 126.8386974718"
332,"37.5418785619, 126.9734001424"
333,"37.5300375877, 126.8402927537"
334,"37.5421881212, 127.0942576045"
335,"nan, nan"
